,State,Tally
Pasco County Sheriff's Office,FL,1
Pasco Police Department,WA,1
Paulding Sheriff's Office,GA,1
Pawtucket Police Department,RI,1
Pearland Police Department,TX,1
Pembroke Pines Police Department,FL,1
Pennsylvania State Police Department,PA,7
"Pennsylvania State Police, Nazareth Police Department, Tatamy Police Department",PA,1
Penobscot County Sheriffеs Office,ME,1
Pensacola Police Department,FL,1
Perth Amboy Police Department,NJ,1
Phenix City Police Department,AL,2
Philadelphia Police Department,PA,12
Phoenix Police Department,AZ,18
Pierce County Metro SWAT,WA,1
"Pierre Police Department, Hughes County Sheriff's Office, USMS and BIA",SD,1
Pima County Sheriff's Department,AZ,3
Pinal County Sheriff's Office,AZ,1
Pine Bluff Police Department SWAT,AR,1
Pinecrest Police Department,FL,1
Pittsburgh Police Department,PA,1
Plainfield Police Department,IN,1
Pleasantville Police Department,NJ,1
Plumas County Sheriff's Office,CA,1
Pocahontas Police Department,AR,1
Polk County Police Department,GA,1
Polk County Sheriffеs Office,FL,1
Pomona Police Department and Los Angeles County District Attorney's Office,CA,1
Pooler Police Department,GA,1
Port Arthur Police Department,TX,1
Port Hueneme Police Department,CA,2
Port Orange Police Department,FL,1
Portland Police Bureau,OR,2
Portsmouth Police Department,VA,1
Prairie View Police Department,TX,1
Prescott Police Department,AZ,1
Prince George's County Police Department,MD,1
Pueblo Police Department,CO,1
Putnam County Sheriff's Office,FL,1
Raleigh County Sheriff's Office,WV,1
Raleigh Police Department,NC,1
Rancho Cordova Police Department,CA,1
Red Bluff Police Department,CA,1
Redding Police Department,CA,1
Redondo Beach Police Department,CA,2
Reno Police Department,NV,2
Rensselaer County Sheriff's Office,NY,1
Richland County Sheriff's Department,SC,1
Richland County Sheriff's Office,SC,2
Richmond County Sheriff's Office,GA,2
Ridgefield Police Department,CT,1
Riverside County Sheriff's Department,CA,6
Riverside County Sheriffеs Department,CA,2
Riverside Police Department,CA,5
Rochester Police Department,NY,1
Rockport Police Department,AR,1
Ross County Sheriff's Department,OH,1
Roswell officer and Alpharetta Police Departments,GA,1
Round Rock Police Department,TX,2
Ruston Police Departmen,LA,1
Sacramento Police Department,CA,2
Salida Police Department,CO,1
Salinas Police Department,CA,1
San Angelo Police Department,TX,2
San Antonio Police Department,TX,7
San Bernardino County Sheriff's Department,CA,2
San Bruno Police Department,CA,1
San Diego County Sheriff's Department,CA,2
San Diego Police Department,CA,6
San Fernando Police Department,CA,1
San Francisco Police Department,CA,1
San Joaquin County Sheriff's Office; Stockton Police Department,CA,1
San Jose Police Department,CA,3
Sanford Police Department,FL,2
Santa Ana Police Department,CA,6
Santa Barbara Police Departent,CA,1
Santa Clara County Sheriff's Office,CA,2
Santa Clara Police Department / Santa Clara County Sheriff's Office,CA,1
"Santa Cruz County Sheriff's Office, Santa Cruz Police Department",CA,1
Santa Cruz Police Department,SC,1
Santa Maria Police Department,CA,1
Santa Monica Police Department,CA,1
Santa Rosa County Sheriff's Office,FL,1
Santa Rosa Police Department,CA,1
Sardis Police Department,GA,1
Savannah-Chatham Police Department,GA,1
Schenectady Police Department,NY,1
Scottsdale Police Department,AZ,1
Seattle Police Department,WA,5
Selma Police Department,AL,4
Seminole County Sheriff's Office,FL,1
Senath Police Department,MO,1
Sewickley and Allegheny County police,PA,1
Shasta County SWAT team,CA,1
Shreveport Police Department,LA,1
Simi Valley Police Department,CA,1
Sioux Falls Police Department,SD,1
Siskiyou County Sheriffеs Department,CA,1
Snohomish County Sheriff's Office,WA,2
Solon Police Department,OH,1
Sonoma County Sheriff's Department,CA,1
Sonoma County Sheriff's Office,CA,2
Sonoma County Sheriffеs Office,CA,1
South Bend Police Department,IN,1
South Boston Police,VA,1
South Gate Police Department,CA,1
South River Police Department,NJ,1
Sparks Police Department,NV,1
Sparta Police Department,WI,1
Spokane County Sheriffеs Office,WA,3
Spokane Police Department,WA,3
Springfield Police Department,MO,2
Springfield Police Department,MA,2
St. Charles County Sheriff's Office,MO,1
St. Cloud Police Department,FL,1
St. John Parish Sheriff's Office,LA,1
St. John's County Sheriff's Department,FL,1
St. Louis County Police Department,MO,1
St. Louis Metropolitan Police Department,MO,7
St. Louis Park Police Department,MN,1
St. Martin Parish Sheriff's Office,LA,1
St. Paul Police Department,MN,2
St. Petersburg Police Department,FL,8
St. Tammany Parish Sheriff's Office,LA,1
Stanfield Police Department,OR,1
Stark County SWAT,OH,1
Statesboro Police Department,GA,1
Stockton Police Department,CA,1
Suffolk County Police Department,NY,3
Suisun City Police Department,CA,1
Sullivan County Sheriff's Office,TN,1
Sullivan County Sheriffеs Office,TN,1
Sunnyside Police Department,WA,1
Sunnyvale Police Department,CA,1
Surprise Police Department,AZ,1
Suwanee Police Department SWAT,GA,1
Suwannee County Sheriff's Office,FL,3
Tarrant County Sheriff's Department,TX,1
Taylor County Sheriff's Office,GA,1
Tempe Police,AZ,1
Tempe Police Department,AZ,1
Texas Department of Public Safety,TX,1
Thornton Police Department,CO,2
Thornton Police Department,IL,2
Three Rivers Police Department,TX,1
Tipton County Sheriff's Department,TN,1
Tipton County Sheriffеs Office,TN,1
Titusville Police Department,FL,1
Toledo Police Department,OH,1
Topeka Police Department,KS,1
Torrance Police Department,CA,1
Town of Menasha Police Department,WI,1
Trenton Police Department,NJ,1
Trenton Police Department SWAT,NJ,1
Trinity County Sheriff's Office,CA,1
Troy Police Department,OH,2
Tucson Police Department,AZ,5
Tukwila Police Department,WA,1
Tulare County Sheriffеs Department,CA,1
Tulare Police Department,CA,1
Tularosa Police Department,NM,1
Tulsa Police Department,OK,1
Tuscaloosa Police Department,AL,1
Tuscola County Sheriff's Department,MI,1
U.S. Border Patrol,TX,5
U.S. Border Patrol,CA,5
U.S. Capitol Police and uniformed Secret Service,DC,1
U.S. Marshals East Valley Fugitave Task Force,AZ,1
U.S. Marshals Service,WA,4
U.S. Marshals Service,NY,4
U.S. Marshals Service,NC,4
Union City Police Department,CA,3
Union County Sheriff's Office,NC,1
University of Akron Police Department,OH,1
University of the Incarnate Word Campus Police Department,TX,1
Upper Darby Police Department,PA,1
"Utah County Sheriff's Office, Davis County Sheriff's Offices, Utah Highway Patrol",UT,1
Vacaville Police Department,CA,2
Valentine Police Department,NE,1
Vallejo Police Department,CA,2
Ventura County Sheriff's Office,CA,3
Vernal Police Department,UT,1
Verona Police Department,MS,1
Virginia Beach Police Department,VA,1
Visalia Police Department,CA,3
Volusia County Sheriff's Office,FL,1
Wake County Sheriff's Office,NC,2
Walworth County Sheriff's Office,WI,2
Warminster Police Department,PA,1
Warner Robins Police Department,GA,1
Warr Acres Police Department,OK,1
Warren Police Department,OH,1
Washoe County Sheriff's Office,NV,1
Watertown Police Department,MA,1
Waycross Police Department,GA,2
Weare Police Department,NH,1
Weber County Sheriff's Office,UT,1
Wenatchee Police Department,WA,2
West Baton Rouge Parish Sheriff's Office,LA,1
West Columbia Police Department,SC,1
West Manheim Police Department,PA,1
West Palm Beach Police Department,FL,1
West Virginia State Police Department,WV,3
"West Virginia State Police special response team, Drug Enforcement Administration",WV,1
Western Berks Regional Police,PA,1
Westerville Division of Police,OH,1
Westfield Police Department,MA,2
Westfield Police Department,PA,2
Wheeling Police Department,WV,1
Wichita Police Department,KS,2
Willard Police Department,UT,1
Willimantic Police Department,CT,1
Wilmington Police Department,NC,3
Wilmington Police Department,DE,3
Wilson and Johnston County Sheriff's Office,NC,1
"Winchester Police Department, Illinois State Police",IL,1
Winfield Police Department,AL,1
Winter Garden Police Department,FL,1
Woodland Park Police Department,CO,1
Worth County Sheriffеs Office,IA,1
Yellowstone County Sheriff's Office,MT,3
Yucaipa Sheriff's Department,CA,1
Yuma County Sheriff's Office,AZ,1
Yuma Police Department,AZ,1
