,Population,ViolentCrime,PoliceShootings,State,City
Selma Police Department,20094,245,4,AL,Selma
Senath Police Department,1762,2,1,MO,Senath
Shreveport Police Department,202189,1397,1,LA,Shreveport
Simi Valley Police Department,126215,132,1,CA,Simi Valley
Sioux Falls Police Department,161754,636,1,SD,Sioux Falls
Solon Police Department,23105,7,1,OH,Solon
South Bend Police Department,100711,664,1,IN,South Bend
South Boston Police,8048,43,1,VA,South Boston
South Gate Police Department,95591,496,1,CA,South Gate
South River Police Department,16198,28,1,NJ,South River
Sparks Police Department,92768,271,1,NV,Sparks
Sparta Police Department,9623,32,1,WI,Sparta
Spokane Police Department,209524,1440,3,WA,Spokane
Springfield Police Department,153586,1673,2,MA,Springfield
Springfield Police Department,153586,1673,2,MA,Springfield
St. Cloud Police Department,40213,139,1,FL,St. Cloud
St. Louis Park Police Department,46723,68,1,MN,St. Louis Park
St. Paul Police Department,294690,2200,2,MN,St. Paul
St. Petersburg Police Department,247084,2379,8,FL,St. Petersburg
Stanfield Police Department,2058,2,1,OR,Stanfield
Statesboro Police Department,30201,88,1,GA,Statesboro
Stockton Police Department,299796,3622,1,CA,Stockton
Suisun City Police Department,28805,64,1,CA,Suisun City
Sunnyside Police Department,16099,42,1,WA,Sunnyside
Sunnyvale Police Department,148160,144,1,CA,Sunnyvale
Surprise Police Department,122497,149,1,AZ,Surprise
Tempe Police,168501,831,1,AZ,Tempe
Tempe Police Department,168501,831,1,AZ,Tempe
Thornton Police Department,2347,1,2,IL,Thornton
Thornton Police Department,2347,1,2,IL,Thornton
Three Rivers Police Department,1887,25,1,TX,Three Rivers
Titusville Police Department,43989,328,1,FL,Titusville
Topeka Police Department,128009,612,1,KS,Topeka
Torrance Police Department,147534,187,1,CA,Torrance
Town of Menasha Police Department,18872,19,1,WI,Town of Menasha
Trenton Police Department,84439,1122,1,NJ,Trenton
Troy Police Department,25424,19,2,OH,Troy
Tucson Police Department,525486,3368,5,AZ,Tucson
Tukwila Police Department,19765,164,1,WA,Tukwila
Tulare Police Department,61424,430,1,CA,Tulare
