,City,State,Location,Population,ViolentCrime,PoliceViolence
New York Police Department,New York,NY,"[40.7305991, -73.9865811]",8396126,52384,21
Newark Police Department,Newark,NJ,"[40.735657, -74.1723666]",278246,3516,1
Newport News Police Department,Newport News,VA,"[37.016827, -76.4505195]",181074,795,0
Norfolk Police Department,Norfolk,VA,"[36.8889933, -76.2481623]",247303,1418,1
Norman Police Department,Norman,OK,"[35.2225717, -97.4394815]",116970,178,0
North Charleston Police Department,North Charleston,SC,"[32.8546197, -79.9748102]",103324,693,0
North Las Vegas Police Department,North Las Vegas,NV,"[36.2008371, -115.1120957]",225632,1806,0
Oakland Police Department,Oakland,CA,"[37.8044557, -122.2713562]",403887,7984,2
Oceanside Police Department,Oceanside,CA,"[33.1958696, -117.3794833]",172525,634,0
Oklahoma Police Department,Oklahoma,OK,,605034,4998,0
Olathe Police Department,Olathe,KS,"[38.8843867, -94.8161126]",131342,185,1
Omaha Police Department,Omaha,NE,"[41.2587317, -95.9378731]",425076,2449,3
Ontario Police Department,Ontario,CA,"[34.065846, -117.6484303]",168144,453,0
Orlando Police Department,Orlando,FL,"[28.5421175, -81.3790461]",253238,2316,5
Overland Park Police Department,Overland Park,KS,"[38.9822282, -94.6707916]",180555,284,0
Palm Bay Police Department,Palm Bay,FL,"[28.0331886, -80.6429694]",104391,451,0
Pasadena Police Department,Pasadena,CA,"[34.1476452, -118.1444778]",139003,434,0
Paterson Police Department,Paterson,NJ,"[40.9167654, -74.1718109]",145082,1555,0
Pearland Police Department,Pearland,TX,"[29.5639758, -95.2864298]",98183,152,1
Pembroke Pines Police Department,Pembroke Pines,FL,"[26.02322025, -80.3412389662561]",162064,275,1
Peoria Police Department,Peoria,AZ,"[33.5766205, -112.2398261]",161641,254,0
Philadelphia Police Department,Philadelphia,PA,"[39.9523993, -75.1635898]",1553153,17074,12
Phoenix Police Department,Phoenix,AZ,"[33.4485866, -112.0773455]",1502139,9492,18
Plano Police Department,Plano,TX,"[33.0136764, -96.6925095]",275795,389,0
Pomona Police Department,Pomona,CA,"[34.0553813, -117.7517495]",151366,809,0
Port St. Lucie Police Department,Port St. Lucie,FL,"[27.2939333, -80.3503282]",169877,303,0
Providence Police Department,Providence,RI,"[41.8239891, -71.4128342]",178887,1115,0
Provo Police Department,Provo,UT,"[40.2338438, -111.6585336]",116937,160,0
Pueblo Police Department,Pueblo,CO,"[38.2544472, -104.6091409]",108062,1011,1
Raleigh Police Department,Raleigh,NC,"[35.7803977, -78.6390988]",428993,1683,1
Ramapo Police Department,Ramapo,NY,,87204,57,0
Rialto Police Department,Rialto,CA,"[34.1064001, -117.3703234]",102520,434,0
Richardson Police Department,Richardson,TX,"[32.9481789, -96.7297205]",104577,128,0
Richmond Police Department,Richmond,CA,,212830,1327,0
Richmond Police Department,Richmond,VA,,212830,1327,0
Riverside Police Department,Riverside,CA,"[33.9533546, -117.3961622]",316423,1330,5
Rochester Police Department,Rochester,NY,,109675,214,1
Rochester Police Department,Rochester,MN,,109675,214,1
Rockford Police Department,Rockford,IL,"[42.2713945, -89.0939659]",150209,2065,0
Round Rock Police Department,Round Rock,TX,"[30.508235, -97.6788933]",108577,149,2
Sacramento Police Department,Sacramento,CA,"[38.5815719, -121.4943995]",478182,3137,2
Salem Police Department,Salem,OR,"[44.9391565, -123.0331209]",158234,520,0
Salinas Police Department,Salinas,CA,"[36.6744117, -121.6550371]",155742,1001,1
Salt Lake Police Department,Salt Lake,UT,,190246,1475,0
San Antonio Police Department,San Antonio,TX,"[29.4246002, -98.4951404]",1399725,8828,7
San Bernardino Police Department,San Bernardino,CA,"[34.1083449, -117.2897651]",214322,1949,0
San Diego Police Department,San Diego,CA,"[32.7174209, -117.1627713]",1349306,5303,6
San Francisco Police Department,San Francisco,CA,"[37.7792808, -122.4192362]",833863,7064,1
San Jose Police Department,San Jose,CA,"[37.3361905, -121.8905832]",992143,3215,3
Sandy Springs Police Department,Sandy Springs,GA,"[33.9242688, -84.3785378]",101180,186,0
Santa Ana Police Department,Santa Ana,CA,"[33.7494951, -117.8732212]",332848,1121,6
Santa Clara Police Department,Santa Clara,CA,"[37.3541132, -121.9551743]",120150,172,0
Santa Maria Police Department,Santa Maria,CA,"[34.9531295, -120.4358576]",102051,490,1
Scottsdale Police Department,Scottsdale,AZ,"[33.5091215, -111.8992364]",225523,337,1
