City,State,Population,ViolentCrime
Buena Park,CA,82632,221
Burbank,CA,104727,171
Burlingame,CA,29936,37
Calabasas,CA,24114,20
Calexico,CA,39527,92
California City,CA,13339,87
Calimesa,CA,8118,14
Calistoga,CA,5223,9
Camarillo,CA,66173,73
Campbell,CA,40549,106
Canyon Lake,CA,10944,3
Capitola,CA,10038,38
Carlsbad,CA,110505,221
Carmel,CA,3833,9
Carpinteria,CA,13287,21
Carson,CA,93415,400
Cathedral City,CA,53064,149
Central Marin,CA,34105,41
Ceres,CA,45876,133
Cerritos,CA,49816,82
Chico,CA,88226,299
Chino,CA,80704,258
Chino Hills,CA,76943,63
Chowchilla,CA,17696,81
Chula Vista,CA,255073,595
Citrus Heights,CA,85337,320
City of Angels,CA,3729,9
Claremont,CA,35623,37
Clayton,CA,11439,2
Clearlake,CA,14951,125
Cloverdale,CA,8718,5
Clovis,CA,99483,181
Coachella,CA,43330,118
Coalinga,CA,16398,131
Colma,CA,1481,5
Colton,CA,53403,161
Colusa,CA,5957,10
Commerce,CA,12995,83
Compton,CA,97907,1242
Concord,CA,125464,407
Corcoran,CA,23290,71
Corning,CA,7631,47
Corona,CA,160159,162
Coronado,CA,23183,11
Costa Mesa,CA,112538,252
Cotati,CA,7388,35
Covina,CA,48524,138
Crescent City,CA,7333,94
Cudahy,CA,24091,111
Culver City,CA,39452,161
Cupertino,CA,60440,41
Cypress,CA,49067,50
Daly City,CA,104536,223
Dana Point,CA,34262,70
Danville,CA,43411,17
Davis,CA,66126,103
Delano,CA,52210,309
Del Mar,CA,4290,16
Del Rey Oaks,CA,1673,5
Desert Hot Springs,CA,27936,277
Diamond Bar,CA,56619,62
Dinuba,CA,23440,214
Dixon,CA,18743,35
Dorris,CA,910,1
Dos Palos,CA,5071,89
Downey,CA,113222,326
Duarte,CA,21759,41
Dublin,CA,49789,70
Dunsmuir,CA,1589,4
East Palo Alto,CA,29086,347
Eastvale,CA,54882,63
El Cajon,CA,102012,386
El Centro,CA,43249,144
El Cerrito,CA,24184,92
Elk Grove,CA,160925,469
El Monte,CA,115591,340
El Segundo,CA,16911,37
Emeryville,CA,10415,132
Encinitas,CA,61433,127
Escalon,CA,7304,10
Escondido,CA,148650,596
Etna,CA,721,1
Eureka,CA,26881,192
Exeter,CA,10506,20
Fairfax,CA,7563,13
Fairfield,CA,108425,498
Farmersville,CA,10786,47
Ferndale,CA,1364,4
Fillmore,CA,15206,26
Firebaugh,CA,8062,70
Folsom,CA,73782,98
Fontana,CA,203427,725
Fort Bragg,CA,7245,53
Fort Jones,CA,823,1
Fortuna,CA,11803,41
Foster City,CA,32652,15
Fountain Valley,CA,56805,92
Fowler,CA,6038,37
Fremont,CA,224475,273
Fresno,CA,508876,2552
Fullerton,CA,139676,372
Galt,CA,24553,63
Gardena,CA,59703,245
Garden Grove,CA,175469,455
Gilroy,CA,51240,180
Glendale,CA,195366,181
Glendora,CA,50893,65
Goleta,CA,30401,43
Gonzales,CA,8428,24
Grand Terrace,CA,12364,38
