City,State,Population,ViolentCrime
Lower Alloways Creek Township,NJ,1746,3
Lower Township,NJ,22467,31
Lumberton Township,NJ,12516,17
Lyndhurst Township,NJ,21477,17
Madison,NJ,16216,4
Magnolia,NJ,4363,14
Manalapan Township,NJ,39313,20
Manasquan,NJ,5860,3
Manchester Township,NJ,43013,19
"Mansfield Township, Burlington County",NJ,8652,3
"Mansfield Township, Warren County",NJ,7551,9
Mantoloking,NJ,297,0
Mantua Township,NJ,15097,11
Manville,NJ,10412,10
Maple Shade Township,NJ,19291,42
Maplewood Township,NJ,24230,41
Margate City,NJ,6319,5
Marlboro Township,NJ,40190,10
Matawan,NJ,8745,4
Maywood,NJ,9613,6
Medford Lakes,NJ,4196,1
Medford Township,NJ,23285,11
Mendham,NJ,5029,1
Mendham Township,NJ,5908,1
Merchantville,NJ,3824,7
Metuchen,NJ,13748,6
Middlesex,NJ,13787,6
Middle Township,NJ,18861,59
Middletown Township,NJ,66246,43
Midland Park,NJ,7268,2
Millburn Township,NJ,20177,9
Milltown,NJ,6972,0
Millville,NJ,28661,254
Mine Hill Township,NJ,3691,0
Monmouth Beach,NJ,3280,0
"Monroe Township, Gloucester County",NJ,36798,49
"Monroe Township, Middlesex County",NJ,41356,9
Montclair,NJ,37962,73
Montgomery Township,NJ,22467,3
Montvale,NJ,8004,3
Montville Township,NJ,21757,5
Moonachie,NJ,2747,4
Moorestown Township,NJ,20706,24
Morris Plains,NJ,5773,3
Morristown,NJ,18552,84
Morris Township,NJ,22640,11
Mountain Lakes,NJ,4311,0
Mountainside,NJ,6815,1
Mount Arlington,NJ,5324,2
Mount Ephraim,NJ,4678,10
Mount Holly Township,NJ,9316,38
Mount Laurel Township,NJ,41839,28
Mount Olive Township,NJ,28611,16
Mullica Township,NJ,6202,5
National Park,NJ,3011,7
Neptune City,NJ,4830,19
Neptune Township,NJ,27856,174
Netcong,NJ,3279,7
Newark,NJ,278246,3516
New Brunswick,NJ,56542,303
Newfield,NJ,1538,1
New Hanover Township,NJ,8011,0
New Milford,NJ,16577,2
New Providence,NJ,12463,3
Newton,NJ,7812,7
North Arlington,NJ,15597,12
North Bergen Township,NJ,62436,102
North Brunswick Township,NJ,41425,45
North Caldwell,NJ,6403,1
Northfield,NJ,8647,1
North Hanover Township,NJ,7738,8
North Plainfield,NJ,22030,53
Northvale,NJ,4919,3
North Wildwood,NJ,3973,11
Norwood,NJ,5855,1
Nutley Township,NJ,28660,20
Oakland,NJ,12927,2
Oaklyn,NJ,4023,6
Ocean City,NJ,11473,12
Ocean Gate,NJ,2027,1
Oceanport,NJ,5833,6
"Ocean Township, Monmouth County",NJ,27180,50
"Ocean Township, Ocean County",NJ,8565,1
Ogdensburg,NJ,2365,1
Old Bridge Township,NJ,66528,47
Old Tappan,NJ,5882,0
Oradell,NJ,8126,2
Orange,NJ,30952,377
Oxford Township,NJ,2459,1
Palisades Park,NJ,20062,19
Palmyra,NJ,7412,25
Paramus,NJ,26628,32
Park Ridge,NJ,8948,1
Parsippany-Troy Hills Township,NJ,53851,19
Passaic,NJ,70445,512
Paterson,NJ,145082,1555
Paulsboro,NJ,6034,27
Peapack and Gladstone,NJ,2570,0
Pemberton,NJ,1392,3
Pemberton Township,NJ,27949,86
Pennington,NJ,2585,0
Pennsauken Township,NJ,35788,105
Penns Grove,NJ,5075,18
Pennsville Township,NJ,13183,12
Pequannock Township,NJ,15580,6
Perth Amboy,NJ,52093,243
Phillipsburg,NJ,14619,30
Pine Beach,NJ,2138,0
Pine Hill,NJ,10704,46
Pine Valley,NJ,12,0
Piscataway Township,NJ,58259,46
Pitman,NJ,8930,7
Plainfield,NJ,50433,427
Pleasantville,NJ,20909,145
Plumsted Township,NJ,8544,12
Pohatcong Township,NJ,3291,4
Point Pleasant,NJ,18458,16
Point Pleasant Beach,NJ,4678,3
Pompton Lakes,NJ,11163,7
Princeton,NJ,28688,17
Prospect Park,NJ,5903,11
Rahway,NJ,27930,50
Ramsey,NJ,14826,14
Randolph Township,NJ,25969,4
Raritan,NJ,7352,6
Raritan Township,NJ,21849,4
Readington Township,NJ,15910,2
Red Bank,NJ,12174,19
Ridgefield,NJ,11340,4
Ridgefield Park,NJ,12923,5
Ridgewood,NJ,25315,8
Ringwood,NJ,12383,5
Riverdale,NJ,4025,1
River Edge,NJ,11517,1
Riverside Township,NJ,8063,24
Riverton,NJ,2798,4
River Vale Township,NJ,9885,9
Robbinsville Township,NJ,14046,6
Rochelle Park Township,NJ,5597,3
Rockaway,NJ,6500,5
Rockaway Township,NJ,24444,11
Rockleigh,NJ,531,1
Roseland,NJ,5912,1
Roselle,NJ,21388,65
Roselle Park,NJ,13593,8
Roxbury Township,NJ,23599,7
Rumson,NJ,7021,2
Runnemede,NJ,8459,13
Rutherford,NJ,18291,9
Saddle Brook Township,NJ,14152,6
Saddle River,NJ,3190,1
Salem,NJ,5175,54
Sayreville,NJ,44174,38
Scotch Plains Township,NJ,23914,19
Sea Bright,NJ,1381,1
Sea Girt,NJ,1796,0
Sea Isle City,NJ,2093,3
Seaside Heights,NJ,2892,30
Seaside Park,NJ,1589,3
Secaucus,NJ,19119,18
Ship Bottom,NJ,1159,1
Shrewsbury,NJ,3941,3
Somerdale,NJ,5276,14
Somers Point,NJ,10806,28
Somerville,NJ,12174,15
South Amboy,NJ,8753,16
South Bound Brook,NJ,4889,1
South Brunswick Township,NJ,44575,21
South Hackensack Township,NJ,2444,5
South Harrison Township,NJ,3202,1
South Orange,NJ,16297,35
South Plainfield,NJ,23789,19
South River,NJ,16198,28
South Toms River,NJ,3698,7
Sparta Township,NJ,19494,4
Spotswood,NJ,8459,4
Springfield,NJ,17238,12
Springfield Township,NJ,3414,1
Spring Lake,NJ,2992,1
Spring Lake Heights,NJ,4680,1
Stafford Township,NJ,27063,14
Stanhope,NJ,3529,1
Stone Harbor,NJ,850,0
Stratford,NJ,6982,11
Summit,NJ,21973,8
Surf City,NJ,1207,0
Swedesboro,NJ,2911,2
Tavistock,NJ,5,0
Teaneck Township,NJ,40245,49
Tenafly,NJ,14696,2
Teterboro,NJ,70,1
Tewksbury Township,NJ,5854,0
Tinton Falls,NJ,17849,6
Toms River Township,NJ,92332,74
Totowa,NJ,10985,23
Trenton,NJ,84439,1122
Tuckerton,NJ,3369,2
Union Beach,NJ,6198,15
Union City,NJ,68254,247
Union Township,NJ,57335,92
Upper Saddle River,NJ,8321,3
Ventnor City,NJ,10604,12
Vernon Township,NJ,23443,5
Verona,NJ,13429,3
Vineland,NJ,60863,208
Voorhees Township,NJ,29284,31
Waldwick,NJ,9936,1
Wallington,NJ,11683,9
Wall Township,NJ,26051,11
Wanaque,NJ,11173,8
Warren Township,NJ,15841,3
Washington,NJ,6408,4
"Washington Township, Bergen County",NJ,9271,2
"Washington Township, Gloucester County",NJ,48110,23
"Washington Township, Morris County",NJ,18782,2
"Washington Township, Warren County",NJ,6493,2
Watchung,NJ,5844,6
Waterford Township,NJ,10747,14
Wayne Township,NJ,54917,29
Weehawken Township,NJ,12937,21
Wenonah,NJ,2263,0
Westampton Township,NJ,8796,17
West Amwell Township,NJ,3763,2
West Caldwell Township,NJ,10878,6
West Cape May,NJ,1022,1
West Deptford Township,NJ,21497,7
Westfield,NJ,30770,12
West Long Branch,NJ,8660,8
West Milford Township,NJ,26095,24
West New York,NJ,52102,161
West Orange,NJ,46794,79
Westville,NJ,4247,11
West Wildwood,NJ,589,3
West Windsor Township,NJ,28557,17
Westwood,NJ,11056,2
Wharton,NJ,6593,6
Wildwood,NJ,5228,90
Wildwood Crest,NJ,3222,6
Willingboro Township,NJ,31914,119
Winfield Township,NJ,1489,0
Winslow Township,NJ,39212,93
Woodbridge Township,NJ,100568,135
Woodbury,NJ,10073,45
Woodbury Heights,NJ,3026,3
Woodcliff Lake,NJ,5864,2
Woodland Park,NJ,12636,3
Woodlynne,NJ,2967,15
Wood-Ridge,NJ,8632,1
Woodstown,NJ,3519,7
Woolwich Township,NJ,11167,1
Wyckoff Township,NJ,16949,0
Alamogordo,NM,31788,80
Albuquerque,NM,558165,4325
Artesia,NM,11376,144
Aztec,NM,6654,26
Bloomfield,NM,7918,64
Bosque Farms,NM,3882,19
Carrizozo,NM,981,3
Cimarron,NM,965,7
Clayton,NM,2889,0
Clovis,NM,39521,269
Deming,NM,14770,148
Dexter,NM,1274,1
Estancia,NM,1625,2
Eunice,NM,3019,6
Farmington,NM,45820,291
Gallup,NM,22192,463
Grants,NM,9233,53
Hobbs,NM,35318,298
Jal,NM,2114,11
Las Cruces,NM,102007,332
Las Vegas,NM,13458,116
Logan,NM,996,3
Loving,NM,1410,1
Moriarty,NM,1855,3
Peralta,NM,3636,24
Questa,NM,1757,2
Raton,NM,6521,11
Red River,NM,475,2
Santa Rosa,NM,2786,23
San Ysidro,NM,195,0
Socorro,NM,8861,74
Sunland Park,NM,14939,10
Taos,NM,5666,66
Taos Ski Valley,NM,69,1
Truth or Consequences,NM,6385,17
Tucumcari,NM,5149,26
Adams Village,NY,1861,0
Addison Town and Village,NY,2577,3
Akron Village,NY,2846,3
Albany,NY,97956,791
Albion Village,NY,6388,23
Alfred Village,NY,4089,5
Allegany Village,NY,1781,3
Amherst Town,NY,118296,107
Amityville Village,NY,9519,9
Amsterdam,NY,18182,30
Arcade Village,NY,2053,0
Ardsley Village,NY,4523,5
Asharoken Village,NY,658,0
Attica Village,NY,2522,2
Auburn,NY,27270,96
Avon Village,NY,3333,1
Baldwinsville Village,NY,7473,5
Ballston Spa Village,NY,5418,8
Batavia,NY,15374,57
Bath Village,NY,5733,15
Bedford Town,NY,17627,5
Bethlehem Town,NY,34243,13
Binghamton,NY,46304,284
Black River,NY,1410,0
Blooming Grove Town,NY,12001,8
Bolivar Village,NY,1022,1
Bolton Town,NY,2325,2
Boonville Village,NY,2054,1
Brant Town,NY,2065,4
Brewster,NY,2358,0
Briarcliff Manor Village,NY,7976,1
Brighton Town,NY,36689,26
Brockport Village,NY,8284,23
Bronxville Village,NY,6390,0
Brownville Village,NY,1174,0
Buffalo,NY,258789,3249
Cairo Town,NY,6577,0
Cambridge Village,NY,1854,2
Camden Village,NY,2219,5
Camillus Town and Village,NY,24165,14
Canandaigua,NY,10470,22
Canastota Village,NY,4704,4
Canisteo Village,NY,2246,3
Canton Village,NY,6794,3
Cape Vincent Village,NY,762,0
Carmel Town,NY,34462,10
Carroll Town,NY,3481,0
Carthage Village,NY,3862,1
Cattaraugus Village,NY,980,0
Cayuga Heights Village,NY,3749,1
Cazenovia Village,NY,2732,0
Central Square Village,NY,1835,3
Chatham Village,NY,1733,3
Cheektowaga Town,NY,78361,158
Chester Town,NY,7990,0
Chittenango Village,NY,5016,1
Cicero Town,NY,29571,12
Clarkstown Town,NY,80705,65
Clyde Village,NY,2049,4
Cobleskill Village,NY,4503,5
Coeymans Town,NY,7458,39
Cohoes,NY,16179,26
Colonie Town,NY,78215,63
Cooperstown Village,NY,1827,1
Corning,NY,11087,35
Cornwall-on-Hudson Village,NY,2978,2
Cornwall Town,NY,9543,1
Cortland,NY,19331,18
Crawford Town,NY,9264,11
Croton-on-Hudson Village,NY,8180,1
Cuba Town,NY,3209,5
Dansville Village,NY,4605,2
Deerpark Town,NY,7827,7
Delhi Village,NY,2985,1
Depew Village,NY,15189,17
Deposit Village,NY,1628,0
Dewitt Town,NY,22681,20
Dexter Village,NY,1122,0
Dobbs Ferry Village,NY,11021,1
Dolgeville Village,NY,2191,7
Dryden Village,NY,1913,3
Dunkirk,NY,12329,40
East Aurora-Aurora Town,NY,13774,5
Eastchester Town,NY,19800,2
East Fishkill Town,NY,29315,9
East Greenbush Town,NY,16470,12
East Hampton Town,NY,19674,20
East Hampton Village,NY,1104,0
East Rochester Village,NY,6596,8
East Syracuse Village,NY,3036,8
Eden Town,NY,7684,1
Ellenville Village,NY,4124,17
Ellicott Town,NY,5144,7
Elmira,NY,28921,81
Elmira Heights Village,NY,4079,2
Elmira Town,NY,5948,0
Endicott Village,NY,13122,46
Evans Town,NY,16292,17
Fairport Village,NY,5335,5
Fallsburg Town,NY,12109,22
Fishkill Town,NY,20435,3
Floral Park Village,NY,15926,14
Florida Village,NY,2842,0
Fort Plain Village,NY,2265,4
Frankfort Town,NY,5033,0
Frankfort Village,NY,2579,5
Franklinville Village,NY,1702,1
Fredonia Village,NY,10988,10
Freeport Village,NY,43214,152
Friendship Town,NY,1960,0
Fulton City,NY,11739,24
Garden City Village,NY,22596,10
Gates Town,NY,28468,57
Geddes Town,NY,10442,7
Geneseo Village,NY,7891,6
Geneva,NY,13194,28
Germantown Town,NY,1926,0
Glen Cove,NY,27134,3
Glen Park Village,NY,526,0
Glens Falls,NY,14582,22
Glenville Town,NY,21839,13
Gloversville,NY,15315,33
Goshen Village,NY,5400,2
Gowanda Village,NY,2663,5
Granville Village,NY,2498,6
Great Neck Estates Village,NY,2794,0
Greece Town,NY,96667,151
Greenburgh Town,NY,44787,48
Greene Village,NY,1553,0
Green Island Village,NY,2621,2
Greenport Town,NY,4065,2
Greenwood Lake Village,NY,3118,2
Groton Village,NY,2381,2
Guilderland Town,NY,33805,12
Hamburg Town,NY,45535,38
Hamburg Village,NY,9517,8
Hammondsport Village,NY,656,0
Harrison Town,NY,27876,6
Hastings-on-Hudson Village,NY,7937,1
Haverstraw Town,NY,37196,64
Hempstead Village,NY,55198,433
Herkimer Village,NY,7693,53
Highland Falls Village,NY,3847,3
Homer Village,NY,3270,0
Hoosick Falls Village,NY,3466,9
Hornell,NY,8481,5
Horseheads Village,NY,6701,2
Hudson,NY,6676,26
Hudson Falls Village,NY,7187,6
Huntington Bay Village,NY,1428,1
Hyde Park Town,NY,21397,18
Ilion Village,NY,8002,15
Irondequoit Town,NY,51506,93
Irvington Village,NY,6530,0
Jamestown,NY,30658,168
Johnson City Village,NY,14866,69
Johnstown,NY,8531,14
Jordan Village,NY,1350,1
Kenmore Village,NY,15256,26
Kent Town,NY,13381,1
Kings Point Village,NY,5042,1
Kingston,NY,23665,74
Kirkland Town,NY,8296,0
Lackawanna,NY,17965,89
Lake Placid Village,NY,2491,2
Lake Success Village,NY,3009,2
Lakewood-Busti,NY,7280,1
Lancaster Town,NY,36369,15
Larchmont Village,NY,5930,2
Le Roy Village,NY,4354,11
Lewiston Town and Village,NY,16175,12
Liberty Village,NY,4285,21
Little Falls,NY,4912,16
Liverpool Village,NY,2311,2
Lloyd Harbor Village,NY,3683,0
Lloyd Town,NY,10751,6
Lockport,NY,20904,70
Long Beach,NY,33534,35
Lowville Village,NY,3457,2
Lynbrook Village,NY,19528,12
Lyons Village,NY,3543,27
Macedon Town and Village,NY,9132,4
Malone Village,NY,5881,4
Malverne Village,NY,8542,4
Mamaroneck Town,NY,12146,1
Mamaroneck Village,NY,19164,8
Manchester Village,NY,1688,0
Manlius Town,NY,24461,18
Marcellus Village,NY,1792,0
Marlborough Town,NY,8769,5
Massena Village,NY,10808,22
Mechanicville,NY,5213,8
Medina Village,NY,5953,12
Menands Village,NY,3991,5
Middleport Village,NY,1813,2
Middletown,NY,27809,114
Monroe Village,NY,8544,12
Montgomery Town,NY,8961,6
Montgomery Village,NY,4188,2
Monticello Village,NY,6582,48
Moravia Village,NY,1263,3
Moriah Town,NY,3628,7
Mount Hope Town,NY,7112,0
Mount Kisco Village,NY,11028,17
Mount Morris Village,NY,2912,2
Mount Pleasant Town,NY,26564,12
Mount Vernon,NY,68071,554
Newark Village,NY,8978,27
New Berlin Town,NY,1622,0
Newburgh,NY,28571,435
Newburgh Town,NY,30984,38
New Castle Town,NY,17864,2
New Hartford Town and Village,NY,20355,13
New Paltz Town and Village,NY,14248,34
New Rochelle,NY,78800,175
New Windsor Town,NY,25767,31
New York,NY,8396126,52384
New York Mills Village,NY,3324,2
Niagara Falls,NY,49574,584
Niagara Town,NY,8241,13
Niskayuna Town,NY,22097,13
Nissequogue Village,NY,1754,0
North Castle Town,NY,12077,3
North Greenbush Town,NY,12137,8
Northport Village,NY,7411,6
North Syracuse Village,NY,6964,10
North Tonawanda,NY,31176,41
Northville Village,NY,1097,0
Norwich,NY,7049,15
Ogdensburg,NY,11072,23
Ogden Town,NY,20026,17
Old Brookville Village,NY,2171,4
Old Westbury Village,NY,4625,1
Olean,NY,14150,40
Oneida,NY,11220,18
Oneonta City,NY,13825,21
Orangetown Town,NY,37438,37
Orchard Park Town,NY,29386,16
Oriskany Village,NY,1385,0
Ossining Village,NY,25314,36
Oswego City,NY,18139,54
Owego Village,NY,3818,9
Oxford Village,NY,1433,2
Oyster Bay Cove Village,NY,4233,0
Painted Post Village,NY,2116,1
Palmyra Village,NY,3475,4
Peekskill,NY,23908,30
Pelham Manor Village,NY,5558,2
Pelham Village,NY,6982,7
Penn Yan Village,NY,5123,4
Perry Village,NY,3633,3
Piermont Village,NY,2550,1
Pine Plains Town,NY,2460,1
Plattekill Town,NY,10374,8
Plattsburgh City,NY,19672,39
Pleasantville Village,NY,7100,0
Port Byron Village,NY,1274,0
Port Chester Village,NY,29328,48
Port Dickinson Village,NY,1602,0
Port Jervis,NY,8689,15
Portville Village,NY,997,0
Potsdam Village,NY,9613,8
Poughkeepsie,NY,30778,286
Poughkeepsie Town,NY,43866,39
Pound Ridge Town,NY,5200,3
Pulaski Village,NY,2354,1
Quogue Village,NY,977,0
Ramapo Town,NY,87204,57
Red Hook Village,NY,1947,1
Rensselaer City,NY,9517,19
Rhinebeck Village,NY,2635,2
Riverhead Town,NY,33789,64
Rochester,NY,210562,2107
Rockville Centre Village,NY,24129,22
Rome,NY,32557,47
Rosendale Town,NY,6026,1
Rotterdam Town,NY,29146,33
Rye Brook Village,NY,9480,2
Sag Harbor Village,NY,2279,3
Salamanca,NY,5691,18
Sands Point Village,NY,2715,0
Saranac Lake Village,NY,5369,26
Saratoga Springs,NY,27081,33
Saugerties Town,NY,19318,15
Scarsdale Village,NY,17564,1
Schenectady,NY,66041,607
Schodack Town,NY,11573,4
Schoharie Village,NY,872,0
Scotia Village,NY,7700,5
Seneca Falls Town,NY,2362,12
Shandaken Town,NY,3043,4
Shawangunk Town,NY,14205,3
Shelter Island Town,NY,2412,3
Sherburne Village,NY,1351,1
Sherrill,NY,3064,4
Shortsville Village,NY,1437,0
Sidney Village,NY,3805,7
Skaneateles Village,NY,2450,0
Sleepy Hollow Village,NY,9996,8
Sodus Village,NY,1805,0
Solvay Village,NY,6487,19
Southampton Town,NY,50603,44
Southampton Village,NY,3161,3
South Glens Falls Village,NY,3640,6
Southold Town,NY,19963,12
Spring Valley Village,NY,32288,132
Stillwater Town,NY,6587,1
St. Johnsville Village,NY,1691,3
Stony Point Town,NY,15307,12
Suffern Village,NY,10886,9
Syracuse,NY,143834,1192
Tarrytown Village,NY,11449,6
Ticonderoga Town,NY,4982,11
Tonawanda,NY,14987,34
Tonawanda Town,NY,58082,118
Troy,NY,49898,371
Trumansburg Village,NY,1820,2
Tuckahoe Village,NY,6578,0
Tupper Lake Village,NY,3642,3
Tuxedo Park Village,NY,615,0
Ulster Town,NY,12195,14
Utica,NY,61686,361
Vestal Town,NY,27980,16
Walden Village,NY,6887,18
Wallkill Town,NY,27940,40
Walton Village,NY,3012,6
Warsaw Village,NY,3453,6
Washingtonville Village,NY,5828,2
Waterford Town and Village,NY,8392,4
Waterloo Village,NY,5175,11
Watertown,NY,28179,109
Watervliet,NY,10245,26
Watkins Glen Village,NY,1862,6
Waverly Village,NY,4337,5
Webster Town and Village,NY,43777,21
Weedsport Village,NY,1797,0
Wellsville Village,NY,4574,11
Westhampton Beach Village,NY,1732,2
West Seneca Town,NY,44821,35
Whitehall Village,NY,2604,6
White Plains,NY,57559,78
Whitesboro Village,NY,3733,4
Whitestown Town,NY,9141,0
Woodbury Town,NY,10685,3
Woodridge Village,NY,829,7
Woodstock Town,NY,5931,2
Yonkers,NY,199134,1036
Yorktown Town,NY,36643,15
Aberdeen,NC,6760,23
Albemarle,NC,15946,70
Apex,NC,41356,36
Archdale,NC,11524,8
Asheboro,NC,25665,82
Atlantic Beach,NC,1491,15
Aulander,NC,857,1
Ayden,NC,5065,27
Banner Elk,NC,1117,2
Beaufort,NC,4107,16
Belhaven,NC,1624,2
Benson,NC,3452,30
Bethel,NC,1625,5
Beulaville,NC,1346,8
Biltmore Forest,NC,1393,0
Biscoe,NC,1694,3
Black Mountain,NC,8012,7
Blowing Rock,NC,1234,0
Boiling Spring Lakes,NC,5546,10
Boone,NC,17998,40
Brevard,NC,7536,10
Bunn,NC,350,2
Burgaw,NC,4005,9
Burlington,NC,51401,362
Butner,NC,7661,20
Canton,NC,4164,23
Cape Carteret,NC,1928,0
Carolina Beach,NC,5937,11
Carrboro,NC,20709,53
Carthage,NC,2321,4
Cary,NC,148905,102
Catawba,NC,605,2
Chadbourn,NC,1835,27
Chapel Hill,NC,58744,71
Charlotte-Mecklenburg,NC,837638,5093
Cherryville,NC,5818,18
Claremont,NC,1355,7
Clayton,NC,17315,28
Cleveland,NC,870,2
Clinton,NC,8774,62
Coats,NC,2318,4
Columbus,NC,983,2
Concord,NC,82899,122
Cornelius,NC,26683,42
Creedmoor,NC,4254,10
Davidson,NC,11657,11
Dobson,NC,1586,6
Drexel,NC,1863,0
Duck,NC,375,1
Eden,NC,15282,57
Edenton,NC,4994,39
Elizabeth City,NC,18395,109
Elon,NC,9627,2
Emerald Isle,NC,3669,12
Enfield,NC,2485,18
Erwin,NC,4620,9
Fairmont,NC,2714,22
Farmville,NC,4767,35
Fayetteville,NC,202524,1170
Fletcher,NC,7320,7
Forest City,NC,7394,20
Franklin,NC,3894,16
Franklinton,NC,2060,7
Garner,NC,27021,52
Garysburg,NC,1012,8
Gastonia,NC,73049,510
Gibsonville,NC,6632,3
Goldsboro,NC,37230,283
Graham,NC,14270,75
Granite Falls,NC,4647,9
Greensboro,NC,279343,1449
Greenville,NC,88018,555
Hamlet,NC,6625,49
Havelock,NC,20765,44
Haw River,NC,2344,9
Henderson,NC,15309,214
Hendersonville,NC,13342,53
Hertford,NC,2175,18
Hickory,NC,40109,167
Highlands,NC,923,2
High Point,NC,107261,556
Holly Ridge,NC,1654,4
Holly Springs,NC,27557,23
Hope Mills,NC,15699,74
Hudson,NC,3720,3
Huntersville,NC,50162,49
Indian Beach,NC,114,0
Kannapolis,NC,44150,87
Kenansville,NC,885,5
Kernersville,NC,23553,86
Kill Devil Hills,NC,6869,42
King,NC,6860,13
Kinston,NC,21619,273
Kitty Hawk,NC,3348,3
Knightdale,NC,13153,19
Lake Lure,NC,1190,0
Laurel Park,NC,2243,1
Laurinburg,NC,15740,212
Leland,NC,15535,24
Lexington,NC,18939,85
Liberty,NC,2672,4
Lincolnton,NC,10686,52
Long View,NC,4867,25
Louisburg,NC,3426,11
Lumberton,NC,21828,383
Madison,NC,2214,3
Maiden,NC,3340,8
Manteo,NC,1353,7
Marion,NC,7945,30
Mars Hill,NC,2061,3
Matthews,NC,29178,58
Mayodan,NC,2471,11
Mebane,NC,13129,45
Mint Hill,NC,24350,45
Mocksville,NC,5097,11
Monroe,NC,33895,204
Mooresville,NC,33676,77
Morehead City,NC,9159,57
Morganton,NC,16852,47
Morrisville,NC,21229,12
Mount Airy,NC,10450,40
Mount Holly,NC,13814,36
Mount Olive,NC,4672,44
Murfreesboro,NC,2807,7
Murphy,NC,1592,13
New Bern,NC,30514,120
Newland,NC,683,2
Newport,NC,4778,8
Newton,NC,12980,53
North Topsail Beach,NC,735,2
North Wilkesboro,NC,4256,20
Oak Island,NC,7064,27
Oxford,NC,8607,86
Pilot Mountain,NC,1477,4
Pinebluff,NC,1382,0
Pinehurst,NC,15100,8
Pine Knoll Shores,NC,1344,0
Pineville,NC,8027,31
Pittsboro,NC,3933,16
Raeford,NC,4894,29
Raleigh,NC,428993,1683
Ramseur,NC,1703,11
Randleman,NC,4144,10
Red Springs,NC,3469,27
Reidsville,NC,14286,53
Richlands,NC,1643,6
Rich Square,NC,926,7
River Bend,NC,3175,0
Roanoke Rapids,NC,15686,92
Rockingham,NC,9480,37
Rockwell,NC,2112,2
Rocky Mount,NC,57021,599
Rolesville,NC,4424,4
Rose Hill,NC,1687,8
Rowland,NC,1052,4
Roxboro,NC,8310,76
Rutherfordton,NC,4206,0
Salisbury,NC,33626,262
Scotland Neck,NC,2021,12
Selma,NC,6217,38
Shallotte,NC,3837,20
Shelby,NC,20261,125
Siler City,NC,8243,27
Smithfield,NC,11451,71
Snow Hill,NC,1592,11
Southern Pines,NC,12846,88
Southern Shores,NC,2782,1
Sparta,NC,1724,9
Spencer,NC,3262,39
Spring Hope,NC,1325,7
Stallings,NC,14544,15
Stanley,NC,3599,5
Statesville,NC,25199,187
St. Pauls,NC,2440,8
Sunset Beach,NC,3669,1
Surf City,NC,2005,12
Sylva,NC,2744,21
Tabor City,NC,3969,22
Tarboro,NC,11297,53
Taylorsville,NC,2067,4
Thomasville,NC,26866,117
Trent Woods,NC,4230,3
Troutman,NC,2446,6
Troy,NC,3488,14
Tryon,NC,1615,2
Valdese,NC,4493,2
Vanceboro,NC,1015,2
Wadesboro,NC,5673,80
Wake Forest,NC,33852,43
Wallace,NC,4015,13
Warsaw,NC,3172,14
Waxhaw,NC,10481,15
Weaverville,NC,3814,3
Weldon,NC,1621,4
Wendell,NC,6248,13
Whispering Pines,NC,3045,0
Whitakers,NC,739,6
Whiteville,NC,5466,97
Wilkesboro,NC,3431,19
Williamston,NC,5390,64
Wilmington,NC,110985,687
Wilson's Mills,NC,2374,3
Windsor,NC,3564,10
Wingate,NC,3702,20
Winston-Salem,NC,235811,1426
Winterville,NC,9539,8
Woodfin,NC,6178,17
Wrightsville Beach,NC,2551,11
Yadkinville,NC,2949,22
Zebulon,NC,4664,31
Belfield,ND,856,0
Beulah,ND,3149,4
Bismarck,ND,65850,194
Bowman,ND,1687,1
Burlington,ND,1054,1
Carrington,ND,2108,1
Cavalier,ND,1268,1
Devils Lake,ND,7260,23
Dickinson,ND,20347,76
Ellendale,ND,1388,1
Fargo,ND,111101,446
Fessenden,ND,486,0
Grafton,ND,4326,17
Grand Forks,ND,53625,144
Harvey,ND,1827,0
Jamestown,ND,15286,42
Kenmare,ND,1050,1
Killdeer,ND,841,0
Lamoure,ND,895,1
Lincoln,ND,2898,3
Lisbon,ND,2149,2
Mandan,ND,19168,57
Medora,ND,139,0
Minot,ND,44635,122
Napoleon,ND,757,0
New Town,ND,2362,7
Northwood,ND,918,0
Oakes,ND,1840,2
Powers Lake,ND,314,0
Rolla,ND,1333,2
Rugby,ND,2972,6
Sherwood,ND,254,0
Stanley,ND,1949,1
Steele,ND,708,0
Surrey,ND,1042,1
Thompson,ND,1002,0
Tioga,ND,1247,6
Valley City,ND,6580,14
Wahpeton,ND,7812,7
Watford City,ND,2793,12
West Fargo,ND,28018,44
Williston,ND,19949,87
Wishek,ND,974,0
Ada,OH,5755,7
Akron,OH,198405,1570
Albany,OH,877,0
Alliance,OH,22144,83
Amberley Village,OH,3585,1
Amelia,OH,4870,1
American Township,OH,12318,2
Amherst,OH,12040,9
Arcanum,OH,2098,0
Ashland,OH,20306,14
Ashville,OH,4118,1
Athens,OH,23721,17
Aurora,OH,15457,9
Austintown,OH,36192,53
Bainbridge Township,OH,11454,3
Barberton,OH,26245,87
Batavia,OH,1633,2
"Bath Township, Summit County",OH,9724,2
Bazetta Township,OH,5793,1
Beavercreek,OH,45971,12
Beaver Township,OH,6606,5
Bedford,OH,12858,31
Bellaire,OH,4202,3
Bellbrook,OH,7061,2
Bellefontaine,OH,13147,45
Belpre,OH,6429,5
Berea,OH,18939,18
Bethel,OH,2737,4
Beverly,OH,1302,1
Bexley,OH,13316,20
Blanchester,OH,4230,1
Blendon Township,OH,7960,13
Blue Ash,OH,12105,7
Bluffton,OH,4000,1
Bowling Green,OH,31844,49
