,City,State,Location,Population,ViolentCrime,PoliceViolence,R
Lansing Police Department,Lansing,MI,"[42.7337712, -84.5553804]",113907,1204,0,-0.056012210973881871
Laredo Police Department,Laredo,TX,"[27.5060991, -99.5088978]",247353,1027,0,-0.0029749803658071787
Las Cruces Police Department,Las Cruces,NM,"[32.3140354, -106.7798077]",102007,332,1,0.0095716256290612201
Lewisville Police Department,Lewisville,TX,"[33.046233, -96.9941739]",100710,243,0,-0.13000202989011989
Lincoln Police Department,Lincoln,NE,"[40.8, -96.6678209]",267565,990,0,-0.025958362201739641
Little Rock Police Department,Little Rock,AR,"[34.7464809, -92.2895947]",197399,2777,4,-0.040370047629074479
Long Beach Police Department,Long Beach,CA,"[33.78538945, -118.158049215311]",469665,2346,6,-0.058447563152413277
Los Angeles Police Department,Los Angeles,CA,"[34.054935, -118.2444759]",3878725,16524,18,-0.0086933700973379491
Louisville Metro Police Department,Louisville Metro,KY,"[38.14594255, -85.8376599711079]",671120,3644,2,-0.035414434601055415
Lowell Police Department,Lowell,MA,"[42.6334247, -71.3161717]",109449,625,0,-0.092852754398781823
Lubbock Police Department,Lubbock,TX,"[33.5778631, -101.8551664]",237875,1829,0,-0.062014553318362024
Manchester Police Department,Manchester,NH,"[42.9956397, -71.454789]",110411,747,0,-0.04645198856557653
McAllen Police Department,McAllen,TX,"[26.2043691, -98.2300819]",136169,171,0,-0.033644585596874665
McKinney Police Department,McKinney,TX,"[33.1976496, -96.615447]",146869,207,0,-0.037350436003710234
Memphis Police Department,Memphis,TN,"[35.1490215, -90.0516284]",657691,10894,10,-0.055012010990534987
Mesa Police Department,Mesa,AZ,"[33.4153143, -111.831264]",456155,1807,4,-0.032248273781956716
Miami Police Department,Miami,FL,"[25.7742658, -80.1936588]",418394,4945,1,0.02719303643379356
Midland Police Department,Midland,TX,"[31.9973662, -102.0779481]",122259,350,0,-0.046562475959925236
Milwaukee Police Department,Milwaukee,WI,"[43.0349931, -87.9224969]",600805,8194,4,-0.054153297629352171
Minneapolis Police Department,Minneapolis,MN,"[44.9772995, -93.2654691]",396206,4038,2,-0.033333125706943363
Miramar Police Department,Miramar,FL,"[25.97591145, -80.3347211811522]",130926,476,1,-0.14349067745779087
Modesto Police Department,Modesto,CA,"[37.6390972, -120.9968781]",204252,1704,0,-0.077539459631201568
Murfreesboro Police Department,Murfreesboro,TN,"[35.9155165, -86.4446933327789]",115587,705,0,-0.02159380427476365
Naperville Police Department,Naperville,IL,"[41.7729107, -88.1478669]",144221,105,0,-0.074227407176775895
